;Akapad hard;Akapad zacht;Roetspons;Cosmetica spons;Arbocel;Atomair zuurstof
Efficiëntie reiniging;3;3;3;4;5;5
Duur reiniging;4;4;4;4;4;1
Kleurverschil;;;;;;
schade aan textielvezels;3;3;3;3;4;4
Afwezigheid van residu;2;2;3;4;4;5
;;;;;;
;;;;;;
;;;;;;
duur reiniging: (opp van have sample);1;2;3;4;5;
;+60min;40-60min;20-40min;1-20min;-1min;
;1;2;3;4;5;
schade vezels;duidelijke verplaatsing/vervorming/ruwer worden opp/verdunnen;duidelijke;matige;minieme;geen;
;bevat 3 van de lijst o dmet blote ook zichtbaar;bevat 2 van de lijst waarvan 1 met blote oo gzixhtbaar;bavat 1 duidelijke of 2 matige, bijna niet zichtbaar met blote oog;bevat 1 matige of twee miniem, niet zixhtbaar met blote oog;1 miniem of geen, niet met blote oog zichtbaar;
